order_id,shipper_id,order_date,delivery_city,delivery_address,supervisor_id,order_discount,client_id,delivery_city_code
1,7,2023-01-27,Kraków,ul. Morska 66/173,27,0.14,7,30-001
2,6,2023-03-07,Gdańsk,ul. Szkolna 16/35,17,0.23,80,80-001
3,9,2023-03-14,Gdynia,ul. Reymonta 23/190,1,0.24,24,81-001
4,8,2023-03-23,Gliwice,ul. Długa 89,33,0.21,81,44-100
5,1,2023-03-25,Bydgoszcz,ul. Świętokrzyska 4/44,23,0.09,86,85-001
6,8,2023-03-30,Kraków,ul. Polna 1/123,8,0.08,79,30-001
7,8,2023-04-04,Łódź,ul. Słoneczna 49/185,32,0.06,47,90-001
8,8,2023-04-11,Lublin,ul. Krótka 26/35,24,0.06,27,20-001
9,4,2023-04-16,Kraków,ul. Asnyka 16/117,25,0.17,77,30-001
10,5,2023-04-18,Gdańsk,ul. Szkolna 26/66,33,0.1,15,80-001
11,7,2023-04-25,Kraków,ul. Krótka 57/55,3,0.13,99,30-001
12,6,2023-04-25,Częstochowa,ul. Słoneczna 24/130,34,0.06,34,42-200
13,3,2023-05-14,Częstochowa,ul. Ogrodowa 45/46,34,0.18,83,42-200
14,8,2023-05-23,Gdańsk,ul. Słoneczna 78/40,1,0.13,36,80-001
15,3,2023-06-09,Gdańsk,ul. Marszałkowska 25/101,20,0.25,82,80-001
16,4,2023-06-15,Kraków,ul. Morska 66/173,8,0.16,7,30-001
17,10,2023-07-24,Radom,ul. Konopnickiej 59/28,26,0.05,23,26-600
18,5,2023-08-08,Poznań,ul. Długa 98/23,2,0.17,64,60-001
19,7,2023-08-16,Gdynia,ul. Reymonta 89/70,12,0.08,51,81-001
20,3,2023-09-05,Szczecin,ul. Ogrodowa 65/3,11,0.03,56,70-001
21,4,2023-09-13,Wrocław,ul. Kwiatowa 1/176,12,0.23,53,50-001
22,6,2023-09-23,Gdynia,ul. Polna 57/44,29,0.22,38,81-001
23,5,2023-09-27,Wrocław,ul. Wyspiańskiego 16/117,26,0.14,16,50-001
24,5,2023-10-02,Gdańsk,ul. Szkolna 16/35,35,0.05,80,80-001
25,6,2023-10-17,Radom,ul. Świętokrzyska 81/76,21,0.08,70,26-600
26,10,2023-10-27,Gdynia,ul. Wiślana 56/47,6,0.06,81,81-001
27,10,2023-11-16,Gdynia,ul. Krótka 51/72,6,0.11,41,81-001
28,4,2023-11-16,Lublin,al. Jana Pawła II 24/44,14,0.05,29,20-001
29,1,2023-12-07,Rzeszów,ul. Marszałkowska 3/22,13,0.21,67,35-001
30,8,2024-01-03,Gliwice,ul. Ogrodowa 98/99,4,0.23,54,44-100
31,4,2024-01-05,Warszawa,ul. Sienkiewicza 44/31,1,0.01,100,00-001
32,4,2024-01-20,Rzeszów,ul. Długa 41/64,10,0.19,40,35-001
33,7,2024-02-20,Katowice,ul. Słoneczna 25/5,25,0.12,76,40-001
34,6,2024-02-26,Sosnowiec,ul. Asnyka 93,34,0.14,56,41-200
35,4,2024-03-15,Rzeszów,ul. Sienkiewicza 77/25,38,0.12,68,35-001
36,7,2024-03-16,Łódź,ul. Konopnickiej 95/35,19,0.2,58,90-001
37,4,2024-03-16,Łódź,ul. Konopnickiej 95/35,15,0.05,58,90-001
38,8,2024-04-06,Lublin,ul. Słowackiego 6/62,13,0.19,65,20-001
39,5,2024-04-07,Lublin,ul. Asnyka 14/25,23,0.05,93,20-001
40,8,2024-04-12,Sosnowiec,ul. Krótka 17/33,19,0.15,90,41-200
41,2,2024-04-16,Rzeszów,ul. Marszałkowska 3/22,31,0.23,67,35-001
42,10,2024-04-21,Lublin,ul. Słowackiego 6/62,19,0.02,65,20-001
43,6,2024-04-22,Poznań,ul. Szkolna 70/60,22,0.24,26,60-001
44,8,2024-04-30,Katowice,ul. Słoneczna 25/5,36,0.15,76,40-001
45,2,2024-04-30,Bydgoszcz,ul. Polna 60/88,1,0.07,48,85-001
46,8,2024-05-10,Gdynia,ul. Wyspiańskiego 15/94,29,0.16,35,81-001
47,10,2024-05-16,Lublin,ul. Wiślana 50/177,38,0.25,52,20-001
48,3,2024-05-27,Bydgoszcz,ul. Morska 98/123,2,0.1,16,85-001
49,3,2024-06-11,Gdańsk,ul. Szkolna 26/66,34,0.13,15,80-001
50,9,2024-06-26,Białystok,ul. Długa 65/37,2,0.2,5,15-001
51,10,2024-07-08,Bydgoszcz,ul. Polna 60/88,17,0.0,48,85-001
52,9,2024-07-21,Warszawa,ul. Ogrodowa 54/51,38,0.18,54,00-001
53,7,2024-07-27,Gdańsk,ul. Leśna 96/76,16,0.01,57,80-001
54,2,2024-07-31,Rzeszów,ul. Sienkiewicza 77/25,7,0.05,68,35-001
55,7,2024-08-04,Gdynia,ul. Morska 73/43,11,0.15,17,81-001
56,4,2024-08-25,Sosnowiec,ul. Sienkiewicza 12/56,11,0.14,88,41-200
57,3,2024-08-31,Kraków,ul. Asnyka 16/117,2,0.11,77,30-001
58,7,2024-09-05,Gdynia,ul. Krótka 51/72,27,0.05,41,81-001
59,3,2024-09-11,Bydgoszcz,ul. Świętokrzyska 4/44,22,0.09,86,85-001
60,3,2024-09-17,Lublin,ul. Słowackiego 40/147,5,0.04,43,20-001
61,1,2024-09-28,Kraków,ul. Morska 66/173,31,0.0,7,30-001
62,5,2024-09-30,Kraków,ul. Leśna 34/38,28,0.01,73,30-001
63,10,2024-10-03,Radom,ul. Marszałkowska 91,4,0.06,6,26-600
64,5,2024-10-06,Rzeszów,ul. Asnyka 37/70,36,0.1,91,35-001
65,2,2024-10-07,Łódź,ul. Ogrodowa 69/3,24,0.09,50,90-001
66,7,2024-10-11,Toruń,ul. Reymonta 9/13,23,0.03,21,87-100
67,9,2024-10-11,Łódź,ul. Świętokrzyska 76/130,24,0.06,85,90-001
68,6,2024-10-12,Szczecin,ul. Sienkiewicza 47/131,5,0.18,9,70-001
69,10,2024-10-13,Poznań,ul. Morska 56/75,33,0.06,47,60-001
70,8,2024-10-26,Warszawa,ul. Sienkiewicza 44/31,37,0.14,100,00-001
71,7,2024-10-31,Zabrze,ul. Polna 56/129,15,0.09,96,41-800
72,2,2024-11-04,Gdynia,ul. Konopnickiej 10/84,38,0.02,72,81-001
73,2,2024-11-30,Rzeszów,ul. Sienkiewicza 77/25,38,0.08,68,35-001
74,3,2024-12-02,Zabrze,ul. Morska 17/45,16,0.23,30,41-800
75,6,2024-12-11,Białystok,ul. Kwiatowa 92/151,15,0.07,97,15-001
76,8,2024-12-18,Gdańsk,ul. Wyspiańskiego 26/18,12,0.08,28,80-001
77,9,2024-12-22,Gdynia,ul. Konopnickiej 10/84,15,0.1,72,81-001
78,4,2025-01-25,Wrocław,ul. Słoneczna 60/29,25,0.05,84,50-001
79,10,2025-02-09,Sosnowiec,ul. Polna 52/155,11,0.01,40,41-200
80,1,2025-02-12,Szczecin,ul. Ogrodowa 71/13,9,0.15,17,70-001
81,2,2025-03-06,Kraków,ul. Polna 20/44,26,0.16,33,30-001
82,9,2025-03-08,Gliwice,ul. Marszałkowska 96/16,35,0.11,71,44-100
83,4,2025-04-17,Bydgoszcz,al. Jana Pawła II 22/41,5,0.19,19,85-001
84,8,2025-04-23,Gdańsk,ul. Morska 74/182,36,0.13,57,80-001
85,9,2025-04-27,Łódź,ul. Słoneczna 49/185,29,0.18,47,90-001
86,4,2025-05-03,Wrocław,ul. Leśna 87/20,7,0.02,14,50-001
87,6,2025-05-07,Kraków,ul. Krótka 57/55,17,0.02,99,30-001
88,10,2025-05-14,Kraków,ul. Polna 1/123,10,0.03,79,30-001
89,8,2025-05-15,Rzeszów,ul. Asnyka 78/115,16,0.05,55,35-001
90,5,2025-05-22,Łódź,ul. Świętokrzyska 76/130,23,0.01,85,90-001
91,6,2025-05-26,Kraków,ul. Szkolna 5,5,0.14,88,30-001
92,7,2025-05-30,Częstochowa,ul. Słoneczna 24/130,31,0.12,34,42-200
93,6,2025-05-30,Częstochowa,ul. Świętokrzyska 98/14,16,0.07,22,42-200
94,1,2025-06-17,Gdynia,ul. Świętokrzyska 47/110,33,0.12,93,81-001
95,7,2025-06-27,Lublin,ul. Słowackiego 6/62,2,0.03,65,20-001
96,5,2025-07-02,Sosnowiec,ul. Krótka 75/97,15,0.25,45,41-200
97,3,2025-07-05,Białystok,ul. Wyspiańskiego 37/45,20,0.2,1,15-001
98,1,2025-07-18,Lublin,ul. Wiślana 50/177,6,0.02,52,20-001
99,6,2025-07-29,Łódź,ul. Słowackiego 35/10,38,0.24,59,90-001
100,4,2025-08-03,Gdynia,ul. Konopnickiej 10/84,27,0.17,72,81-001