role_id,possition_name,description
,Production Manager,"Oversees manufacturing process, production planning, and workflow coordination"
,Production Worker,"Performs manufacturing tasks, assembles furniture components"
,Quality Control Specialist,"Inspects finished products, ensures quality standards are met"
,Warehouse Manager,"Manages inventory, storage, and material flow in warehouse"
,Warehouse Worker,"Handles materials, picks orders, manages stock levels"
,Sales Representative,"Handles customer orders, provides product information, processes sales"
,Sales Manager,"Leads sales team, develops sales strategies, monitors performance"
,Customer Service Specialist,"Handles customer inquiries, complaints, and after-sales support"
,Accountant,"Manages financial records, invoicing, VAT, and cost calculations"
,Procurement Specialist,"Sources and purchases raw materials, manages supplier relationships"
,Product Designer,"Designs new furniture models, creates technical specifications"
,IT Support,"Maintains IT systems, database management, software support"
,CEO,"Overall company management, strategic decision making"
,HR Specialist,"Handles recruitment, payroll, employee relations"
,Logistics Coordinator,"Coordinates shipping, delivery schedules, and transportation"